 	English	Swedish	French	Italian	German	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
SwordIronGreat_Name	Iron Great Sword					Espada Bastada de Hierro	Большой железный меч																											
SwordIronGreat_Desc	A wavy great sword of death, the design is foreign but quite effective.					Una espada de la muerte ondulada, Su diseño es un poco extraño pero efectivo	Волнистый двуручный меч смерти, внешний вид немного запредельный, но весьма эффективный.																											
SwordFlametalGreatIron_Name	Heavy Iron Great Sword					Espada Bastada de Hierro pesada	Большой тяжелый железный меч																											
SwordFlametalGreatIron_Desc	Another foreign design that is heavier towards the end, and in general. Harder to swing but stonger than a normal iron great sword.					Otro diseño extranjero con el peso en la punta, dificil de blandir pero mas fuerte que su hermana pequeña	Еще один запредельный замысел, который имеет тяжесть на конце и в целом. Им труднее размахивать, тем не менее он сильнее, чем обычный большой железный меч.																											
SwordSilverGreat_Name	Silver Great Sword					Espada Bastarda de plata	Большой серебряный меч																											
SwordSilverGreat_Desc	A large silvered ceremonial sword, noble warriors would not choose to give up their personal safety by choice.  However the range, and pure silver make this great for hordes of undead.					Una larga espada ceremonial, Normalmente los nobles no eligen un arma que les deje desprotegida, ademas la plata es buena contra los muertos vivientes.	Большой посеребренный церемониальный меч, по своей воле даже благородные воины не захотят отказатся от своей личной безопасности. Однако дальность и чистое серебро делают его отличным оружием против полчищ нежити.																											
MaceSilverGreat_Name	Great Silver Mace					Gran maza de plata	Большая серебряная булава																											
MaceSilverGreat_Desc	Forged with silver and enchanted, its weight of the silver makes it great against the undead, from the purifying metal and density. The enchantments give it the ability freeze those it hits.					Forjada con plata y encantada, su peso y material la convierte en un arma muy deseada para acabar con los no-muerto, los encantamientos le otorgan el poder de congelar	Выкованная из серебра и зачарованная, именно такой вес серебра делает её отличным оружием против нежити, благодаря очищающему металлу и его плотности. Чары свою очередь дают ей возможность замораживать пораженных врагов.																											
AxeSilverBattle_Name	Silver Battleaxe					Hacha de guerra de plata	Серебряный боевой топор																											
AxeSilverBattle_Desc	Purest of metals, this battleaxe is touched by the fury of the sky making it cackle with electricity.  It can make due to sunder trees as well.					Forjada con el mas puro de los metales, Este hacha de batalla es tocada por la furia del cielo, haciendola crepitar con la electricidad.	Боевой топор из чистого металла, пораженный яростью неба, заставляющего его излучать электрические разряды. Искри также могут появится и при рубки деревьев.																											
SwordBlackMetalGreat_Name	Black Metal Great Sword					Espada Bastarda de metal oscuro	Большой меч из черного металла																											
SwordBlackMetalGreat_Desc	A simple and yet crude great sword, it shines green giving it beautiful gleam.					Una gran espada algo tosca y simple,  Brilla con un tenue verde  que la convierte en un arma hermosa.	Простой и в то же время грубый большой меч, он имеет зеленое сияние, придающие ему прекрасные отблески.																											
AxeBlackMetalBattle_Name	Black Metal Battleaxe					Hacha de guerra de  metal oscuro	Боевой топор из черного металла																											
AxeBlackMetalBattle_Desc	A heavy-ended battleaxe forged from dark metal with an emerald sheen.					Un hacha de batalla  pesada forjada en metal oscuro y con un brillo verde esmeralda.	Боевой топор с тяжелым наконечником, выкованный из темного металла и доведённый до изумрудного блеска.																											
MaceCoreGreat_Name	Great Core Mace					Gran maza del nucleo	Большая булава с ядром																											
MaceCoreGreat_Desc	An extremely heavy mace made with dark iron and a surling core ignited with the essence of a Surtling. Smash and burn those that oppose you.					Una maza extremadamente pesada forjada con hierro oscuro y un nucleo de Surtling, Que aplasta y quema a sus oponentes	Чрезвычайно тяжелая булава, созданная из черного железа и ядра суртлинга, которое воспламенное сущностью Суртлинга. Сокрушайте и сжигайте тех, кто вам противостоит.																											
MaceCoreGreatGreen_Name	Green Great Core Mace					Maza del nucleo verde	Большая булава с зеленым ядром																											
MaceCoreGreatGreen_Desc	An extremely heavy mace made with dark iron and a surling core ignited with the essence of a Surtling. Smash and burn those that oppose you. It is dyed Green.					Una maza extremadamente pesada forjada con hierro oscuro y un nucleo de Surtling, Que aplasta y quema a sus oponentes, esta teñida de verde	Чрезвычайно тяжелая булава, созданная из черного железа и ядра суртлинга, которое воспламенное сущностью Суртлинга. Сокрушайте и сжигайте тех, кто вам противостоит. Она окрашена в зеленый цвет.																											
MaceGraspUndying_Name	Grasp of Undying					Empuñadura Inmortal	Захваченное бессмертие																											
MaceGraspUndying_Desc	The heart of a troll cursed with undeath, its severed arm grasping the still beating heart that pumps toxic blood, forever trapped in a state of undying.					El corazon de un troll maldito con la No-muerte, Su brazo cercenado mientras asia el corazon que latia, bombea la sangre toxica, quedando atrapado como un arma para la eternidad.	Сердце тролля, проклятое нежитью, её отрубленная рука сжимает все еще бьющееся сердце, качающее ядовитую кровь, навеки заточенное в бессмертном состоянии.																											
SwordObsidianGreat_Name	Moder's Sorrow					Lamento de moder	Скорбь Матери																											
SwordObsidianGreat_Desc	Moder's sorrow great made tangible through obsidian and the breath of the mountains.  Those that wield this can freeze the very souls of who they hit.					El lamento de moder se hizo tangible a traves de la obsidiana y el frio aliento de la montaña,  se dice que su golpe puede congerla el alma de sus rivales.	Великая скорбь Матери стала ощутимой посредством силе обсидиана и дыханию гор. Те, кто ей владеют, смогут заморозить даже самые сильные души тех, в кого она направлена.																											
SwordFlametalGreat_Name	Flametal Great Sword					Espada bastada de flametal	Большой огненный меч																											
SwordFlametalGreat_Desc	This blade is crafted from flametal from the Ashlands, the flames dancing from its blade sizzle with an unnatural vigor.\n\r\n\rCuts with this would scorch soul and body alike.					Esta hoja esta creada con metal llameante de las tierras abrazadas, las llamas bailan por su hoja mmientras crepitan con una fuerza antinatural, Sus golpes quemara el cuerpo y el alma por igua.	Этот клинок изготовлен из Огнеметалла добитого в Пепельных землях, пламя танцующее на его лезвии, шипит неестественной силой. Порезы сделанные им, смогут опалить душу и тело.																											
SwordDragonSlayer_Name	Dragon Slayer					Mata dragones	Убийца Драконов																											
SwordDragonSlayer_Desc	"It was too big to be called a sword. Massive, thick, heavy, and far too rough. Indeed, it was a heap of raw iron. The blacksmith Godot forged this under to orders to create something that could "slay a dragon". It can be best described as a sharp maul, rather than a sword.  In Memory of Kentarou Miura, 11-07-1966 to 06-05-2021. May your memory, and your legacy live on."					Era demasiado grande para ser llamada Espada, Enorme, Gruesa, pesada y demasiado tosca, de hecho era un amasijo de metal oscuro. el herrero Godot forjo esto bajo las ordenes de crear algo que pudiera "matar a un dragon" Es mas facil describilar como maza con filo que como espada. (En memoria de Kentarou Miura, 11-07-1966 a 06-05-2021. Que tu memoria y tu legado sigan vivos)	«Он был слишком велик, чтобы называться мечом. Массивный, толстый, тяжелый и слишком грубый. Фактически, он был кучей сырого железа. Кузнец Годо выковал его по приказу, чтобы создать нечто, способное убить дракона. Его лучше всего можно описать как острую булаву, но не как меч.» В память о Миура, Кэнтаро, с 11.07.1966 по 06.05.2021. Пусть сохранится о тебе память и твое наследие.																											
