	English	Swedish	French	Italian	German	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
SwordIronGreat_Name	Iron Great Sword		Espadon en fer			Espada Bastada de Hierro	Железный Великий Меч																	铁大剑		철 대검								
SwordIronGreat_Desc	A wavy great sword of death, the design is foreign but quite effective.		Une grande épée de la mort, la conception est étrangère mais assez efficace.			Una espada de la muerte ondulada, Su diseño es un poco extraño pero efectivo	Волнистый двуручный меч смерти, внешний вид немного запредельный, но весьма эффективный.																	一把波浪形的死亡大剑，设计很陌生但很有效。		뱀모양의 이국적인 검신은 생각보다 효과적입니다.								
SwordFlametalGreatIron_Name	Heavy Iron Great Sword		Espadon en fer lourd			Espada Bastada de Hierro pesada	Железный тяжелый Великий Меч																	重铁大剑		중철 대검								
SwordFlametalGreatIron_Desc	Another foreign design that is heavier towards the end, and in general. Harder to swing but stonger than a normal iron great sword.		Un autre design étranger qui est plus lourd en général. Plus difficile à balancer mais plus solide qu'un espadon de fer normale.			Otro diseño extranjero con el peso en la punta, dificil de blandir pero mas fuerte que su hermana pequeña	Еще один запредельный замысел, который имеет тяжесть на конце и в целом. Им труднее размахивать, тем не менее он сильнее, чем обычный большой железный меч.																	另一种外国设计，最后更重，总体而言。 比普通的铁制大剑更难挥动但更坚固。		끝으로 갈수록 무거워지는 검신은 휘두르기 어렵지만 일반 철 양손검보다 강합니다.								
SwordSilverGreat_Name	Silver Great Sword		Espadon en argent			Espada Bastarda de plata	Серебряный Великий Меч																	银色大剑		은 대검								
SwordSilverGreat_Desc	A large silvered ceremonial sword, noble warriors would not choose to give up their personal safety by choice.  However the range, and pure silver make this great for hordes of undead.					Una larga espada ceremonial, Normalmente los nobles no eligen un arma que les deje desprotegida, ademas la plata es buena contra los muertos vivientes.	Большой посеребренный церемониальный меч, по своей воле даже благородные воины не захотят отказатся от своей личной безопасности. Однако дальность и чистое серебро делают его отличным оружием против полчищ нежити.																	一把银色的大礼剑，高贵的武者不会选择放弃自己的人身安全。 然而，射程和纯银使它非常适合成群的不死生物。		은으로 도금된 의식용 검. 이검을 지닌 고귀한 전사들은 죽은자들과의 싸움을 주저하지 않습니다.								
MaceSilverGreat_Name	Great Silver Mace		Masse d'argent			Gran maza de plata	Серебряный Великая Булава																	大银锤		은 양손메이스								
MaceSilverGreat_Desc	Forged with silver and enchanted, its weight of the silver makes it great against the undead, from the purifying metal and density. The enchantments give it the ability freeze those it hits.					Forjada  y encantada con plata, su peso y material la convierte en un arma muy deseada para acabar con los no-muerto, los encantamientos le otorgan el poder de congelar	Выкованная из серебра и зачарованная, именно такой вес серебра делает её отличным оружием против нежити, благодаря очищающему металлу и его плотности. Чары свою очередь дают ей возможность замораживать пораженных врагов.																	用银锻造并附魔，银的重量使其从净化金属和密度上可以很好地对抗不死生物。 附魔使它能够冻结它击中的人。		은으로 단조되고 마법이 부여된 은 양손메이스는 교회의 이단심문관의 주무기입니다. 죽은자들에게 효과적입니다.								
AxeSilverBattle_Name	Silver Battleaxe		Hache de combat en argent			Hacha de guerra de plata	Серебряный боевой Топор																	银色战斧		은 전투도끼								
AxeSilverBattle_Desc	Purest of metals, this battleaxe is touched by the fury of the sky making it cackle with electricity.  It can make due to sunder trees as well.					Forjada con el mas puro de los metales, Este hacha de batalla es tocada por la furia del cielo, haciendola crepitar con la electricidad.	Боевой топор из чистого металла, пораженный яростью неба, заставляющего его излучать электрические разряды. Искри также могут появится и при рубки деревьев.																	最纯净的金属，这把战斧被天空的愤怒所触动，使其发出电流声。 它也可能因树木被破坏而产生。		순수한 금속인 이 전투도끼는 하늘의 분노에 전율합니다.								
